,rates,start_at,base,end_at
2018-01-02,"{'EUR': 0.1343417924, 'USD': 0.1620833725, 'GBP': 0.1195010546}",2018-01-01,DKK,2021-01-01
2018-01-03,"{'EUR': 0.1343327691, 'USD': 0.1615082883, 'GBP': 0.1190725666}",2018-01-01,DKK,2021-01-01
2018-01-04,"{'EUR': 0.1343201386, 'USD': 0.1620572472, 'GBP': 0.1196832731}",2018-01-01,DKK,2021-01-01
2018-01-05,"{'EUR': 0.1343020991, 'USD': 0.1617668784, 'GBP': 0.1193717348}",2018-01-01,DKK,2021-01-01
2018-01-08,"{'EUR': 0.134287671, 'USD': 0.1607826285, 'GBP': 0.1187277586}",2018-01-01,DKK,2021-01-01
2018-01-09,"{'EUR': 0.1342840645, 'USD': 0.1602277458, 'GBP': 0.1185325437}",2018-01-01,DKK,2021-01-01
2018-01-10,"{'EUR': 0.1342840645, 'USD': 0.1610334502, 'GBP': 0.11906968}",2018-01-01,DKK,2021-01-01
2018-01-11,"{'EUR': 0.134275049, 'USD': 0.1613583264, 'GBP': 0.1196054999}",2018-01-01,DKK,2021-01-01
2018-01-12,"{'EUR': 0.1342516144, 'USD': 0.1629411844, 'GBP': 0.119461114}",2018-01-01,DKK,2021-01-01
2018-01-15,"{'EUR': 0.1342353952, 'USD': 0.1648007947, 'GBP': 0.1195272229}",2018-01-01,DKK,2021-01-01
2018-01-16,"{'EUR': 0.1342426032, 'USD': 0.1641787038, 'GBP': 0.1192879772}",2018-01-01,DKK,2021-01-01
2018-01-17,"{'EUR': 0.1342840645, 'USD': 0.1638668439, 'GBP': 0.1189327103}",2018-01-01,DKK,2021-01-01
2018-01-18,"{'EUR': 0.1342732461, 'USD': 0.1642833165, 'GBP': 0.1184397449}",2018-01-01,DKK,2021-01-01
2018-01-19,"{'EUR': 0.1343111183, 'USD': 0.1645982754, 'GBP': 0.1186840197}",2018-01-01,DKK,2021-01-01
2018-01-22,"{'EUR': 0.1343327691, 'USD': 0.1644098761, 'GBP': 0.1183270197}",2018-01-01,DKK,2021-01-01
2018-01-23,"{'EUR': 0.134345402, 'USD': 0.1645596829, 'GBP': 0.1179955666}",2018-01-01,DKK,2021-01-01
2018-01-24,"{'EUR': 0.1343165303, 'USD': 0.1659077783, 'GBP': 0.1171011806}",2018-01-01,DKK,2021-01-01
2018-01-25,"{'EUR': 0.1343291602, 'USD': 0.166662189, 'GBP': 0.1169174144}",2018-01-01,DKK,2021-01-01
2018-01-26,"{'EUR': 0.1343580373, 'USD': 0.1670876552, 'GBP': 0.1173415919}",2018-01-01,DKK,2021-01-01
2018-01-29,"{'EUR': 0.1343598425, 'USD': 0.1663240491, 'GBP': 0.1181560455}",2018-01-01,DKK,2021-01-01
2018-01-30,"{'EUR': 0.1343815091, 'USD': 0.1669152725, 'GBP': 0.118161661}",2018-01-01,DKK,2021-01-01
2018-01-31,"{'EUR': 0.1343742861, 'USD': 0.1673900482, 'GBP': 0.1181284349}",2018-01-01,DKK,2021-01-01
2018-02-01,"{'EUR': 0.1343580373, 'USD': 0.1673966787, 'GBP': 0.1175901542}",2018-01-01,DKK,2021-01-01
2018-02-02,"{'EUR': 0.1343562321, 'USD': 0.1678378052, 'GBP': 0.1180319499}",2018-01-01,DKK,2021-01-01
2018-02-05,"{'EUR': 0.1343490119, 'USD': 0.1671301708, 'GBP': 0.1189902328}",2018-01-01,DKK,2021-01-01
2018-02-06,"{'EUR': 0.1343562321, 'USD': 0.1656477986, 'GBP': 0.1194225369}",2018-01-01,DKK,2021-01-01
2018-02-07,"{'EUR': 0.134354427, 'USD': 0.165766492, 'GBP': 0.1191387881}",2018-01-01,DKK,2021-01-01
2018-02-08,"{'EUR': 0.1343688694, 'USD': 0.1646287388, 'GBP': 0.1175902287}",2018-01-01,DKK,2021-01-01
2018-02-09,"{'EUR': 0.1343417924, 'USD': 0.1648776818, 'GBP': 0.1192149066}",2018-01-01,DKK,2021-01-01
2018-02-12,"{'EUR': 0.1343039029, 'USD': 0.1646968761, 'GBP': 0.1189932579}",2018-01-01,DKK,2021-01-01
2018-02-13,"{'EUR': 0.1342498121, 'USD': 0.1655702932, 'GBP': 0.1193950703}",2018-01-01,DKK,2021-01-01
2018-02-14,"{'EUR': 0.1342498121, 'USD': 0.1657716679, 'GBP': 0.1195360326}",2018-01-01,DKK,2021-01-01
2018-02-15,"{'EUR': 0.1342408011, 'USD': 0.1677070329, 'GBP': 0.1190178943}",2018-01-01,DKK,2021-01-01
2018-02-16,"{'EUR': 0.1342624293, 'USD': 0.1673446919, 'GBP': 0.1192290651}",2018-01-01,DKK,2021-01-01
2018-02-19,"{'EUR': 0.134264232, 'USD': 0.1666219119, 'GBP': 0.1189446831}",2018-01-01,DKK,2021-01-01
2018-02-20,"{'EUR': 0.134276852, 'USD': 0.1656976354, 'GBP': 0.1183892149}",2018-01-01,DKK,2021-01-01
2018-02-21,"{'EUR': 0.1342912778, 'USD': 0.1653394212, 'GBP': 0.1187980931}",2018-01-01,DKK,2021-01-01
2018-02-22,"{'EUR': 0.1342966882, 'USD': 0.1648626145, 'GBP': 0.1186417233}",2018-01-01,DKK,2021-01-01
2018-02-23,"{'EUR': 0.1342840645, 'USD': 0.1651559709, 'GBP': 0.1180894063}",2018-01-01,DKK,2021-01-01
2018-02-26,"{'EUR': 0.1343020991, 'USD': 0.1654601861, 'GBP': 0.1179441035}",2018-01-01,DKK,2021-01-01
2018-02-27,"{'EUR': 0.1343002955, 'USD': 0.1652027934, 'GBP': 0.1187214612}",2018-01-01,DKK,2021-01-01
2018-02-28,"{'EUR': 0.1342912778, 'USD': 0.1640233667, 'GBP': 0.1187336333}",2018-01-01,DKK,2021-01-01
2018-03-01,"{'EUR': 0.1342822613, 'USD': 0.1634349402, 'GBP': 0.1188666577}",2018-01-01,DKK,2021-01-01
2018-03-02,"{'EUR': 0.1342660347, 'USD': 0.1653083419, 'GBP': 0.1199264222}",2018-01-01,DKK,2021-01-01
2018-03-05,"{'EUR': 0.1342858678, 'USD': 0.1652656174, 'GBP': 0.1196084224}",2018-01-01,DKK,2021-01-01
2018-03-06,"{'EUR': 0.1342389991, 'USD': 0.1666040218, 'GBP': 0.1196942036}",2018-01-01,DKK,2021-01-01
2018-03-07,"{'EUR': 0.1342245846, 'USD': 0.1666666667, 'GBP': 0.1201484524}",2018-01-01,DKK,2021-01-01
2018-03-08,"{'EUR': 0.1342191799, 'USD': 0.1667136434, 'GBP': 0.1200791893}",2018-01-01,DKK,2021-01-01
2018-03-09,"{'EUR': 0.1342389991, 'USD': 0.1649931538, 'GBP': 0.1193290735}",2018-01-01,DKK,2021-01-01
2018-03-12,"{'EUR': 0.1342353952, 'USD': 0.1651363832, 'GBP': 0.1189191366}",2018-01-01,DKK,2021-01-01
2018-03-13,"{'EUR': 0.1342534167, 'USD': 0.1661788793, 'GBP': 0.1190156539}",2018-01-01,DKK,2021-01-01
2018-03-14,"{'EUR': 0.1342408011, 'USD': 0.1660424469, 'GBP': 0.1189776221}",2018-01-01,DKK,2021-01-01
2018-03-15,"{'EUR': 0.1342516144, 'USD': 0.1656799173, 'GBP': 0.1187858284}",2018-01-01,DKK,2021-01-01
2018-03-16,"{'EUR': 0.1342534167, 'USD': 0.1651451279, 'GBP': 0.1184826679}",2018-01-01,DKK,2021-01-01
2018-03-19,"{'EUR': 0.1342570216, 'USD': 0.1652569679, 'GBP': 0.117599753}",2018-01-01,DKK,2021-01-01
2018-03-20,"{'EUR': 0.1342552192, 'USD': 0.1648117071, 'GBP': 0.1177619655}",2018-01-01,DKK,2021-01-01
2018-03-21,"{'EUR': 0.1342534167, 'USD': 0.1649437478, 'GBP': 0.1173415138}",2018-01-01,DKK,2021-01-01
2018-03-22,"{'EUR': 0.1342570216, 'USD': 0.1653509479, 'GBP': 0.1170721229}",2018-01-01,DKK,2021-01-01
2018-03-23,"{'EUR': 0.1342678375, 'USD': 0.1657670722, 'GBP': 0.1171956819}",2018-01-01,DKK,2021-01-01
